LNR,RESPONSE
1754,0.7658390156003556
1770,0.7545054386996024
1465,0.7545054386996024
1470,0.9998794848668274
1478,0.7658390156003556
1782,0.7545054386996024
1485,0.7545054386996024
1519,0.7545054386996024
1835,0.7545054386996024
1522,0.7545054386996024
1539,0.7545054386996024
1853,0.7545054386996024
1856,0.7658390156003556
2502,0.7722539483420117
2182,0.7545054386996024
2191,0.7545054386996024
2522,0.7545054386996024
2530,0.7545054386996024
2215,0.7545054386996024
2550,0.7545054386996024
2570,0.7545054386996024
2574,0.7545054386996024
2579,0.7545054386996024
2247,0.7658390156003556
2674,0.7545054386996024
11434,0.7545054386996024
11122,0.7545054386996024
11127,0.7545054386996024
11443,0.7658390156003556
11170,0.7722539483420117
11191,0.7545054386996024
11198,0.7545054386996024
10936,0.7722539483420117
11244,0.7658390156003556
11247,0.7545054386996024
11252,0.7545054386996024
11259,0.7722539483420117
10945,0.7545054386996024
10951,0.7545054386996024
11271,0.7545054386996024
10963,0.7545054386996024
11282,0.7658390156003556
11291,0.7545054386996024
10980,0.7545054386996024
10994,0.7545054386996024
10998,0.7722539483420117
11303,0.7545054386996024
11630,0.7545054386996024
11636,0.7545054386996024
11949,0.999886748936998
11950,0.7658390156003556
11956,0.7545054386996024
11648,0.7722539483420117
11653,0.7545054386996024
11967,0.7545054386996024
11972,0.9998794848668274
11975,0.7658390156003556
12110,0.7830037971863979
12113,0.7545054386996024
11712,0.7545054386996024
11716,0.7722539483420117
12000,0.7658390156003556
11722,0.7545054386996024
12023,0.7722539483420117
12046,0.7545054386996024
11762,0.7722539483420117
12071,0.7545054386996024
12077,0.7545054386996024
11785,0.7658390156003556
11788,0.7545054386996024
11790,0.7545054386996024
11800,0.7545054386996024
11806,0.7545054386996024
11816,0.9618423163513488
11505,0.7545054386996024
11837,0.7545054386996024
11531,0.7545054386996024
11848,0.7545054386996024
11854,0.7545054386996024
11877,0.7722539483420117
11563,0.7545054386996024
11567,0.7658390156003556
11894,0.9618423163513488
11906,0.7545054386996024
11917,0.7722539483420117
11610,0.7722539483420117
11923,0.7545054386996024
12596,0.7545054386996024
12603,0.7545054386996024
12608,0.7545054386996024
12633,0.7545054386996024
12637,0.7545054386996024
21484,0.7722539483420117
21184,0.7545054386996024
21247,0.9999331054538775
20991,0.7545054386996024
21018,0.7545054386996024
21019,0.7545054386996024
21047,0.902661915078773
21054,0.7545054386996024
21374,0.7722539483420117
21392,0.9998794848668274
21713,0.7545054386996024
22019,0.7545054386996024
22025,0.7545054386996024
21722,0.7545054386996024
21728,0.7722539483420117
22039,0.7722539483420117
22044,0.7545054386996024
61900,0.7545054386996024
62548,0.7545054386996024
63176,0.7545054386996024
64473,0.7545054386996024
64779,0.7658390156003556
64780,0.7545054386996024
64784,0.7545054386996024
65105,0.7722539483420117
65431,0.7545054386996024
65433,0.7545054386996024
66055,0.7545054386996024
66071,0.7722539483420117
61280,0.7722539483420117
61281,0.7545054386996024
61284,0.7545054386996024
61597,0.7545054386996024
61606,0.7545054386996024
62235,0.7658390156003556
62240,0.7545054386996024
62241,0.902661915078773
62555,0.7545054386996024
62557,0.7722539483420117
62565,0.7545054386996024
62566,0.7722539483420117
63515,0.9998907660336358
63524,0.7545054386996024
64797,0.7545054386996024
65116,0.7722539483420117
75249,0.7545054386996024
75253,0.7545054386996024
75575,0.7722539483420117
76212,0.7545054386996024
71422,0.7545054386996024
72059,0.7545054386996024
72060,0.7545054386996024
72383,0.7545054386996024
72386,0.7545054386996024
72700,0.7545054386996024
72715,0.7545054386996024
73028,0.9998794848668274
73346,0.7545054386996024
73658,0.7545054386996024
73662,0.7545054386996024
73666,0.7722539483420117
73668,0.7722539483420117
73985,0.7545054386996024
74299,0.7545054386996024
74310,0.7545054386996024
74312,0.7722539483420117
74619,0.7545054386996024
74620,0.7545054386996024
